time,event
1939.060170628,lick
1939.260570124,lick
1939.460209621,lick
1940.360447355,lick
1940.593766767,lick
1940.794246263,lick
1940.994165759,lick
1946.561711743,lick
1946.694631408,lick
1949.196385109,lick
1952.662496383,lick
1955.562929081,lick
1955.729688661,lick
1959.463479261,lick
1959.663158759,lick
1966.09742256,lick
1966.26410214,lick
1966.530821469,lick
1970.364691817,lick
1980.599826049,lick
1980.76622563,lick
1980.999505043,lick
1991.401438855,lick
1991.568038435,lick
1991.734398017,lick
1991.967797429,lick
1995.968747356,lick
1996.168506853,lick
1999.435538628,lick
1999.602218209,lick
2000.502815941,lick
2008.470195883,lick
2008.670195379,lick
2009.004034539,lick
2010.003712022,lick
2012.337386147,lick
2012.504545726,lick
2023.839437189,lick
2024.00623677,lick
2024.205796267,lick
2034.107371339,lick
2034.307210836,lick
2034.940689241,lick
2035.974486638,lick
2043.475147755,lick
2043.641827335,lick
2048.109816087,lick
2048.275855669,lick
2048.509255081,lick
2052.24348568,lick
2052.409885261,lick
2053.276563079,lick
2064.344815214,lick
2064.512054793,lick
2064.71157429,lick
2065.945771183,lick
2073.712911629,lick
2073.846631292,lick
2074.079710705,lick
2078.613579291,lick
2078.78097887,lick
2082.147770393,lick
2082.347969889,lick
2086.915158391,lick
2087.081517972,lick
2087.314837385,lick
2087.581956712,lick
2088.615034112,lick
2088.848873523,lick
2089.748551258,lick
2094.149020179,lick
2101.917000623,lick
2102.083600203,lick
2108.651143669,lick
2108.851263165,lick
2109.051342661,lick
2120.119514796,lick
2120.319514293,lick
2126.553778598,lick
2127.053937338,lick
2127.154977084,lick
2127.320936666,lick
2127.487736246,lick
2127.653935828,lick
2128.087254737,lick
2129.354531546,lick
2137.088712075,lick
2137.222031739,lick
2137.38867132,lick
2138.989027291,lick
2139.92282494,lick
2143.656215541,lick
2144.589733191,lick
2145.523170841,lick
2153.291311284,lick
2153.459150861,lick
2153.65811036,lick
2160.892812146,lick
2161.058771728,lick
2162.39288837,lick
2162.592287868,lick
2165.059721656,lick
2173.027141597,lick
2173.160461261,lick
2173.76081975,lick
2182.461797845,lick
2182.628557425,lick
2185.095631214,lick
2185.329230626,lick
2189.52986005,lick
2189.729859547,lick
2190.330018036,lick
2196.297483012,lick
2196.497202509,lick
2199.631234619,lick
2199.830954116,lick
2205.798539092,lick
2205.965218673,lick
2217.133550556,lick
2217.300190136,lick
2217.533509549,lick
2217.966908458,lick
2219.467064681,lick
2219.734424008,lick
2226.202007725,lick
2233.502509345,lick
2233.63582901,lick
2238.169817595,lick
2238.336497175,lick
2238.70389625,lick
2238.870615831,lick
2242.137447606,lick
2243.47056425,lick
2246.338077031,lick
2246.538076527,lick
2250.905585532,lick
2251.071905113,lick
2251.838503183,lick
2252.039062678,lick
2256.605811181,lick
2256.77285076,lick
2261.573638674,lick
2261.740318254,lick
2267.107704741,lick
2267.240704407,lick
2267.440623903,lick
2271.941372572,lick
2272.141492069,lick
2278.57563587,lick
2278.709795532,lick
2279.576113351,lick
2279.809072765,lick
2284.409861182,lick
2284.576460762,lick
2292.844239948,lick
2293.011079528,lick
2293.311438771,lick
2296.778270043,lick
2297.044949372,lick
2298.478505763,lick
2305.27988864,lick
2305.446208221,lick
2306.079606627,lick
2306.313006039,lick
2307.91324201,lick
2311.613672694,lick
2326.682954756,lick
2326.915914169,lick
2332.216660824,lick
2337.250688151,lick
2347.718941796,lick
2347.919381291,lick
2354.020405932,lick
2354.487084757,lick
2358.887193679,lick
2362.35438495,lick
2364.354579914,lick
2367.622171688,lick
2390.325154531,lick
2396.559178837,lick
2396.726258416,lick
2397.493416485,lick
2398.326894386,lick
2402.426804064,lick
2402.593483645,lick
2405.160477182,lick
2405.327156763,lick
2409.827865432,lick
2422.563393369,lick
2422.730032949,lick
2422.929712447,lick
2429.730695325,lick
2436.464998371,lick
2436.998837027,lick
2437.131676692,lick
2437.265116356,lick
2437.431795937,lick
2437.565115601,lick
2438.198554006,lick
2438.331873671,lick
2438.498513251,lick
2438.899232242,lick
2444.432858311,lick
2444.566177975,lick
2449.633605217,lick
2449.767324881,lick
2458.43482306,lick
2458.60150264,lick
2458.968181717,lick
2459.068181465,lick
2459.201541129,lick
2459.334940794,lick
2459.468700457,lick
2459.601620122,lick
2459.735059786,lick
2460.002419113,lick
2460.301778359,lick
2461.535375254,lick
2462.168693659,lick
2465.669404846,lick
2465.835804427,lick
2466.035843923,lick
2466.236203419,lick
2473.703824619,lick
2474.20374336,lick
2479.171090854,lick
2479.304690518,lick
2479.571209847,lick
2479.704809511,lick
2479.804689259,lick
2479.938088923,lick
